sample,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS
C00039,10792812750,10545447698,NA,5818908913,3587351248,925721127,213466410,0,28613846,523160,NA,0.551793,0.34018,0.087784,0.020243,0.891974,0.87153,0.982045,0.635591,0.183461,0.491754,0.316777
C00055,19000411575,18472823419,NA,11712327678,5731602366,735513629,293379746,0,57053185,1032264,NA,0.63403,0.310272,0.039816,0.015882,0.944302,0.918082,0.982229,0.650102,0.184902,0.446569,0.322123
C00074,7562983250,7407933043,NA,4284223147,2493793710,504588886,125327300,0,17852940,729094,NA,0.578329,0.336638,0.068115,0.016918,0.914967,0.896209,0.960763,0.566512,0.283891,0.494022,0.395241
C00085,13681994500,13387137455,NA,7957993241,4342291140,842565219,244287855,0,41483337,1021797,NA,0.594451,0.324363,0.062938,0.018248,0.918814,0.899013,0.975961,0.668284,0.138092,0.505715,0.240734
C00105,7421744625,7235291597,NA,4205869206,2473063696,422745341,133613354,0,18540500,441740,NA,0.581299,0.341806,0.058428,0.018467,0.923105,0.899914,0.976729,0.629065,0.199292,0.493613,0.366461
C00120,10290733625,9973345591,NA,4452120785,5014024606,310292864,196907336,0,24412742,291574,NA,0.446402,0.502742,0.031112,0.019743,0.949144,0.919871,0.988197,0.982864,0.045613,0.951799,0.05119
C00132,7627170250,7322782656,NA,4062335790,2658824439,458034654,143587773,0,19008817,330733,NA,0.554753,0.363089,0.062549,0.019608,0.917842,0.881213,0.982899,0.679723,0.18796,0.552473,0.350649
C00158,8787295125,8570777935,NA,5122432306,2766037682,515080201,167227746,0,21454845,561484,NA,0.597662,0.322729,0.060097,0.019511,0.920391,0.897713,0.974497,0.638619,0.172523,0.46168,0.350949
C00168,8771327500,8577820535,NA,4711221574,3483735232,244565471,138298258,0,24363419,676933,NA,0.549233,0.406133,0.028511,0.016123,0.955366,0.934289,0.972966,0.699689,0.134953,0.587362,0.20081
C00186,16401173225,15616180278,NA,7647348804,7127743855,542905311,298182308,0,37262598,805245,NA,0.489707,0.456433,0.034766,0.019094,0.94614,0.900856,0.978847,0.984814,0.057264,0.993632,0.059855
C00188,7070282750,6878302908,NA,3867744191,2682922381,209901649,117734687,0,20667186,426572,NA,0.562311,0.390056,0.030516,0.017117,0.952367,0.926507,0.979777,0.803216,0.09874,0.705521,0.138502
C00192,9849046625,9465327458,NA,5448949842,3615011108,259400799,141965709,0,27001834,502398,NA,0.575675,0.381921,0.027405,0.014998,0.957596,0.920288,0.981734,0.767901,0.133581,0.649777,0.190058
C00193,7714548750,7497602340,NA,4747820470,2212562405,403988608,133230857,0,24635870,312940,NA,0.633245,0.295103,0.053882,0.01777,0.928348,0.902241,0.987457,0.651927,0.151744,0.449254,0.314592
C00195,11023421875,10793583526,NA,6507111299,3676312514,437633845,172525868,0,28674963,1382355,NA,0.602868,0.340602,0.040546,0.015984,0.94347,0.923799,0.954009,0.600538,0.271798,0.499055,0.412978
C00196,15460783425,15043324687,NA,8374702881,5521123983,845432479,302065344,0,30803861,1580861,NA,0.556706,0.367015,0.0562,0.02008,0.92372,0.898779,0.951185,0.597452,0.305934,0.468263,0.45982
C00197,11007873750,10626854092,NA,6641347139,3335874584,475472456,174159913,0,34182942,653159,NA,0.624959,0.31391,0.044743,0.016389,0.938869,0.906371,0.981251,0.616121,0.185852,0.520799,0.326598
C00198,19901973025,19207369115,NA,10264323709,7962530996,627536538,352977872,0,39577155,2676448,NA,0.534395,0.414556,0.032672,0.018377,0.948951,0.915832,0.936658,0.736248,0.18854,0.683195,0.235683
C00199,8358224625,8142224862,NA,4462058150,2970686009,379810269,329670434,0,17244823,1531131,NA,0.548015,0.364849,0.046647,0.040489,0.912864,0.889273,0.918453,0.642895,0.288676,0.528745,0.420973
C00202,14303948375,13857321610,NA,8341434510,4722590061,565317091,227979948,0,47814867,876465,NA,0.601951,0.340801,0.040796,0.016452,0.942752,0.913316,0.982,0.651941,0.157575,0.537302,0.290225
C01413,8437232750,8267130488,NA,5279654149,2506823998,349793573,130858768,0,28105337,649413,NA,0.638632,0.303228,0.042311,0.015829,0.94186,0.922871,0.977415,0.653494,0.144292,0.435679,0.294349
C01418,11057097375,10727303523,NA,5062792216,5207268230,280238272,177004805,0,23371914,384023,NA,0.471954,0.485422,0.026124,0.0165,0.957376,0.928821,0.983835,0.975158,0.061358,0.927451,0.06771
C01631,12463092750,12090058098,NA,7055705332,4177546176,628530279,228276311,0,40000089,1199467,NA,0.583596,0.345536,0.051987,0.018881,0.929131,0.901321,0.970886,0.66458,0.139181,0.500267,0.265141
C01776,7846375250,7665170243,NA,4287086940,2857029812,381454947,139598544,0,19804398,435148,NA,0.559294,0.372729,0.049765,0.018212,0.932023,0.910499,0.9785,0.665894,0.145162,0.478841,0.28199
C01783,9399122375,9157517760,NA,5148633429,3541125920,314698378,153060033,0,26678570,609654,NA,0.56223,0.386691,0.034365,0.016714,0.948921,0.924529,0.977659,0.743029,0.131531,0.664742,0.195711
C01794,8919751375,8753032896,NA,4437518119,3411948950,708776131,194789696,0,20870508,422946,NA,0.506969,0.389802,0.080975,0.022254,0.896771,0.88001,0.980137,0.68273,0.204655,0.458456,0.35898
C01809,9687290875,9500362832,NA,5367685406,3335561080,608902749,188213597,0,25114889,466628,NA,0.564998,0.351098,0.064093,0.019811,0.916096,0.898419,0.981759,0.647247,0.157719,0.492429,0.281426
C01814,11153476375,10673466414,NA,5237421737,4414141727,529445548,492457402,0,26981749,809060,NA,0.490695,0.413562,0.049604,0.046138,0.904258,0.865341,0.970887,0.815474,0.132071,0.736853,0.170279
C01816,9410162875,9159711073,NA,5289784666,3266067239,443663347,160195821,0,29476848,673303,NA,0.577506,0.356569,0.048436,0.017489,0.934074,0.909214,0.977668,0.628676,0.165874,0.547738,0.273815
C01862,13236039375,12791923462,NA,6416081571,4808179194,1237498835,330163862,0,25884035,801169,NA,0.501573,0.375876,0.096741,0.02581,0.877449,0.848008,0.969977,0.662901,0.151464,0.507293,0.285685
C01875,11440036500,11074122768,NA,5244534429,4890674139,452102363,486811837,0,25537551,782633,NA,0.473585,0.441631,0.040825,0.043959,0.915215,0.885942,0.970265,0.869079,0.103679,0.770337,0.127228
C01881,13483281950,12919250498,NA,6797513035,4734076796,728125764,659534903,0,32099955,1013024,NA,0.526154,0.366436,0.05636,0.051051,0.89259,0.855251,0.969407,0.790954,0.141902,0.694148,0.197973
C01895,18904932050,18301206205,NA,10386600625,6927472767,677830767,309302046,0,47845176,791195,NA,0.567536,0.378525,0.037037,0.016901,0.946062,0.91585,0.983732,0.772984,0.144961,0.615116,0.225111
C01902,10952422875,10608592226,NA,5241281632,4432953973,711596558,222760063,0,17153915,318238,NA,0.49406,0.417864,0.067077,0.020998,0.911925,0.883296,0.981786,0.670441,0.214403,0.530883,0.346158
C01904,8710610875,8398365888,NA,5254250652,2478757937,514261011,151096288,0,28190447,540747,NA,0.625628,0.295148,0.061233,0.017991,0.920775,0.887769,0.981179,0.619307,0.209546,0.464638,0.449526
C01905,9851461250,9619295261,NA,5410144877,3369818887,641981815,197349682,0,28406038,539403,NA,0.562426,0.350319,0.066739,0.020516,0.912745,0.891235,0.981365,0.662166,0.153355,0.514788,0.279048
C01910,10559591500,10107077318,NA,6448747255,3226081893,292767477,139480693,0,35275873,1003352,NA,0.638043,0.31919,0.028967,0.0138,0.957233,0.916212,0.972344,0.706531,0.225695,0.511991,0.384905
C01912,8424438000,8148670190,NA,4427110075,3107878145,449264698,164417272,0,20595322,1614761,NA,0.543292,0.381397,0.055133,0.020177,0.924689,0.89442,0.927296,0.622385,0.237159,0.547938,0.377935
C01914,7621519500,7328937135,NA,3783475132,3137346861,254115468,153999674,0,18548517,539149,NA,0.516238,0.428077,0.034673,0.021013,0.944315,0.908063,0.971754,0.841765,0.117687,0.781067,0.146991
C01926,10524514125,10253450970,NA,5937931243,3612885040,516992677,185642010,0,31751638,1022316,NA,0.579115,0.352358,0.050421,0.018105,0.931473,0.907483,0.968807,0.665161,0.130424,0.525532,0.230945
